hostname,ip_address,score,ping,speed,country,country_code,sessions,uptime,total_users,total_traffic,log_type,operator,message
public-vpn-192,219.100.37.209,2839846,28,522615726,Japan,JP,360,4509481406,29866591,1800962357546173,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-0,219.100.37.18,2812501,15,424699907,Japan,JP,111,4509516250,10232130,637197986106076,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-46,219.100.37.10,2789897,26,240862648,Japan,JP,129,4509409609,10076579,504199380197241,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-157,219.100.37.111,2555869,9,297312522,Japan,JP,50,4509404161,11531683,470321330504326,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-215,219.100.37.174,2542631,11,336178952,Japan,JP,46,4509426236,694740,28535786072128,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-206,219.100.37.165,2525860,20,443700400,Japan,JP,90,4509475917,15053276,579372684021439,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
vpn988046136,135.26.163.4,2426252,6,277565206,United States,US,66,96204684,112398,10943051536103,2weeks,DESKTOP-02VHJ06's owner,
public-vpn-226,219.100.37.201,2377306,12,200986768,Japan,JP,143,4509454422,1426254,95007143826178,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-85,219.100.37.81,1787455,11,181159352,Japan,JP,76,4509493736,12415768,651542475807275,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-208,219.100.37.166,1560926,16,295040881,Japan,JP,33,4509487965,5781912,279676355205646,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
public-vpn-129,219.100.37.103,1559883,11,253006344,Japan,JP,49,4509478937,6818521,325713091226493,2weeks,Daiyuu Nobori_ Japan. Academic Use Only.,
vpn577708459,58.136.254.134,1487783,2,468090256,Thailand,TH,88,712032684,250636,69689439233887,2weeks,StagOverflow's owner,
vpn132045044,126.130.35.169,1487529,6,81521108,Japan,JP,53,1309686684,1260175,125149146069997,2weeks,DESKTOP-NCT1N0R's owner,
